user_id,user_type,category,price,quantity,timestamp,total_revenue
6056,regular,Electronics,106.53,1,2024-04-14 17:00:00,106.53
8656,regular,Sports,25.25,1,2024-06-02 18:00:00,25.25
6742,guest,Clothing,0.89,1,2024-02-27 17:00:00,0.89
7563,regular,Home,145.91,1,2024-07-07 19:00:00,145.91
8832,premium,Electronics,58.45,4,2024-09-26 18:00:00,233.82
1260,premium,Home,72.91,4,2024-02-02 19:00:00,291.65
2741,regular,Home,170.99,2,2024-03-08 17:00:00,341.99
9388,premium,Home,84.79,4,2024-04-18 19:00:00,339.17
9283,premium,Clothing,88.87,3,2024-03-25 19:00:00,266.62
9880,regular,Books,92.92,3,2024-11-25 17:00:00,278.76
7099,regular,Clothing,85.14,5,2024-01-03 18:00:00,425.68
2224,regular,Home,118.34,2,2024-04-26 19:00:00,236.69
6117,regular,Clothing,141.39,2,2024-12-19 19:00:00,282.79
1866,regular,Sports,0.85,1,2024-04-26 17:00:00,0.85
9964,regular,Books,82.04,3,2024-02-10 20:00:00,246.13
4459,premium,Books,27.73,2,2024-06-21 20:00:00,55.47
2302,regular,Books,80.29,2,2024-02-19 17:00:00,160.57
2613,regular,Home,85.07,2,2024-03-01 18:00:00,170.13
9486,regular,Home,160.66,2,2024-07-15 19:00:00,321.32
8245,regular,Clothing,60.16,2,2024-08-22 20:00:00,120.33
4917,regular,Electronics,87.44,2,2024-06-21 18:00:00,174.88
3176,regular,Sports,23.39,1,2024-10-02 20:00:00,23.39
8402,premium,Clothing,139.65,5,2024-03-26 20:00:00,698.25
7235,regular,Sports,147.37,4,2024-02-17 17:00:00,589.5
6626,regular,Electronics,35.0,3,2024-11-10 18:00:00,105.01
8359,regular,Electronics,81.87,3,2024-07-30 17:00:00,245.61
2371,premium,Sports,110.54,2,2024-04-22 17:00:00,221.08
6174,regular,Clothing,101.86,2,2024-02-27 17:00:00,203.72
7158,regular,Clothing,122.55,2,2024-01-05 20:00:00,245.1
2461,regular,Clothing,0.95,2,2024-04-28 20:00:00,1.89
5435,regular,Clothing,1.03,3,2024-09-04 20:00:00,3.09
9385,regular,Clothing,136.41,2,2024-08-20 18:00:00,272.82
8815,regular,Books,34.93,2,2024-12-22 19:00:00,69.86
4156,guest,Home,114.14,5,2024-11-26 17:00:00,570.72
6113,regular,Home,85.47,3,2024-10-17 18:00:00,256.41
2557,premium,Clothing,171.95,2,2024-03-17 19:00:00,343.89
6843,premium,Electronics,96.94,3,2024-11-24 17:00:00,290.83
8105,premium,Books,267.91,2,2024-03-14 18:00:00,535.82
2674,regular,Electronics,34.65,5,2024-03-12 19:00:00,173.24
9925,guest,Clothing,43.88,4,2024-03-23 17:00:00,175.51
8784,regular,Electronics,21.82,2,2024-04-19 18:00:00,43.64
9927,regular,Electronics,60.4,4,2024-04-25 20:00:00,241.6
2996,regular,Electronics,161.7,3,2024-08-28 17:00:00,485.09
6737,regular,Electronics,112.01,2,2024-11-28 19:00:00,224.01
5742,premium,Clothing,105.3,6,2024-03-23 17:00:00,631.83
6739,guest,Home,108.63,3,2024-01-27 18:00:00,325.89
2907,guest,Home,151.73,3,2024-03-16 20:00:00,455.19
3380,premium,Sports,56.36,4,2024-11-28 19:00:00,225.44
6161,premium,Electronics,58.98,5,2024-10-19 19:00:00,294.89
6609,premium,Books,158.69,3,2024-06-21 18:00:00,476.08
6818,premium,Sports,11.81,5,2024-03-25 17:00:00,59.04
4542,regular,Home,55.06,3,2024-07-15 20:00:00,165.19
7827,guest,Electronics,115.2,1,2024-08-01 18:00:00,115.2
2413,regular,Clothing,161.93,2,2024-04-30 20:00:00,323.85
6079,regular,Electronics,62.19,4,2024-02-19 19:00:00,248.75
5282,regular,Clothing,80.17,1,2024-06-28 19:00:00,80.17
5601,regular,Books,22.52,1,2024-11-13 17:00:00,22.52
8334,premium,Electronics,167.44,2,2024-10-15 17:00:00,334.88
5677,regular,Home,53.48,2,2024-03-18 17:00:00,106.96
6815,regular,Electronics,98.53,3,2024-12-23 20:00:00,295.59
2909,premium,Electronics,64.77,1,2024-06-01 20:00:00,64.77
6063,regular,Electronics,49.12,4,2024-03-01 19:00:00,196.48
7817,regular,Electronics,189.45,1,2024-02-06 20:00:00,189.45
1148,regular,Clothing,94.02,5,2024-09-27 19:00:00,470.12
7987,premium,Sports,171.84,2,2024-08-05 19:00:00,343.67
2655,regular,Home,118.53,4,2024-03-10 19:00:00,474.1
4366,regular,Clothing,135.67,2,2024-01-19 18:00:00,271.34
4685,regular,Electronics,160.48,2,2024-05-29 20:00:00,320.97
6328,guest,Home,35.79,4,2024-05-17 20:00:00,143.14
1621,regular,Home,0.85,6,2024-09-26 20:00:00,5.12
8968,regular,Electronics,140.7,2,2024-10-21 20:00:00,281.4
9276,regular,Electronics,65.04,4,2024-09-01 19:00:00,260.14
5772,regular,Clothing,271.13,2,2024-07-15 18:00:00,542.26
1204,premium,Books,8.25,3,2024-01-31 20:00:00,24.74
6374,regular,Electronics,53.31,4,2024-04-29 17:00:00,213.23
8737,regular,Electronics,153.07,2,2024-10-16 17:00:00,306.15
1172,regular,Sports,104.57,1,2024-06-05 18:00:00,104.57
6535,regular,Books,105.14,2,2024-03-21 20:00:00,210.29
3103,regular,Clothing,54.74,3,2024-11-17 17:00:00,164.21
2053,guest,Books,60.43,1,2024-12-24 19:00:00,60.43
4246,regular,Electronics,1.12,1,2024-11-27 19:00:00,1.12
6312,regular,Electronics,30.06,7,2024-09-07 18:00:00,210.41
1263,regular,Electronics,93.09,1,2024-11-14 18:00:00,93.09
7820,premium,Electronics,113.4,1,2024-04-26 20:00:00,113.4
8110,regular,Electronics,37.63,1,2024-08-05 19:00:00,37.63
1424,regular,Electronics,0.86,3,2024-06-21 20:00:00,2.58
8448,regular,Sports,13.15,1,2024-05-04 20:00:00,13.15
9722,regular,Sports,43.25,1,2024-03-17 18:00:00,43.25
1310,premium,Books,80.03,2,2024-05-30 17:00:00,160.07
2647,premium,Clothing,21.8,3,2024-08-10 18:00:00,65.4
3653,regular,Clothing,84.08,2,2024-07-07 20:00:00,168.17
7164,premium,Electronics,45.22,6,2024-03-05 18:00:00,271.34
8259,regular,Electronics,85.48,3,2024-03-09 17:00:00,256.44
5652,regular,Home,106.81,1,2024-10-13 20:00:00,106.81
7456,regular,Home,52.95,1,2024-02-08 18:00:00,52.95
4795,regular,Electronics,164.1,1,2024-01-13 17:00:00,164.1
8272,regular,Sports,174.85,3,2024-07-02 19:00:00,524.54
4567,regular,Home,78.53,1,2024-04-28 20:00:00,78.53
3524,guest,Electronics,170.88,3,2024-03-18 18:00:00,512.65
6437,premium,Clothing,125.64,3,2024-09-29 18:00:00,376.92
5179,premium,Electronics,116.82,1,2024-01-20 20:00:00,116.82
7276,regular,Electronics,98.39,3,2024-04-27 19:00:00,295.16
7548,premium,Home,97.86,1,2024-12-31 20:00:00,97.86
1206,premium,Clothing,1.14,1,2024-01-01 19:00:00,1.14
8701,guest,Sports,48.52,1,2024-04-02 18:00:00,48.52
5327,regular,Clothing,84.24,3,2024-10-06 18:00:00,252.71
6476,regular,Home,126.35,2,2024-09-17 19:00:00,252.7
9831,premium,Clothing,31.11,2,2024-04-10 17:00:00,62.22
3650,premium,Electronics,67.73,4,2024-05-13 20:00:00,270.93
3094,regular,Electronics,1.4,2,2024-05-02 19:00:00,2.8
3527,premium,Electronics,0.93,2,2024-08-31 19:00:00,1.86
5379,premium,Home,59.99,4,2024-12-16 18:00:00,239.97
